Income_level,Single_no_children,Married_no_children,Single_one_child,Married_one_child,Single_two_children,Married_two_children,Single_three_children,Married_three_children
1,0.0765,0.0765,0.34,0.34,0.4,0.4,0.45,0.45
2,0.153,0.153,0.68,0.68,0.8,0.8,0.9,0.9
3,0.2295,0.2295,1.02,1.02,1.2,1.2,1.35,1.35
4,0.306,0.306,1.36,1.36,1.6,1.6,1.8,1.8
5,0.3825,0.3825,1.7,1.7,2,2,2.25,2.25
6,0.459,0.459,2.04,2.04,2.4,2.4,2.7,2.7
7,0.5355,0.5355,2.38,2.38,2.8,2.8,3.15,3.15
8,0.612,0.612,2.72,2.72,3.2,3.2,3.6,3.6
9,0.6885,0.6885,3.06,3.06,3.6,3.6,4.05,4.05
10,0.765,0.765,3.4,3.4,4,4,4.5,4.5
11,0.8415,0.8415,3.74,3.74,4.4,4.4,4.95,4.95
12,0.918,0.918,4.08,4.08,4.8,4.8,5.4,5.4
13,0.9945,0.9945,4.42,4.42,5.2,5.2,5.85,5.85
14,1.071,1.071,4.76,4.76,5.6,5.6,6.3,6.3
15,1.1475,1.1475,5.1,5.1,6,6,6.75,6.75
16,1.224,1.224,5.44,5.44,6.4,6.4,7.2,7.2
17,1.3005,1.3005,5.78,5.78,6.8,6.8,7.65,7.65
18,1.377,1.377,6.12,6.12,7.2,7.2,8.1,8.1
19,1.4535,1.4535,6.46,6.46,7.6,7.6,8.55,8.55
20,1.53,1.53,6.8,6.8,8,8,9,9
21,1.6065,1.6065,7.14,7.14,8.4,8.4,9.45,9.45
22,1.683,1.683,7.48,7.48,8.8,8.8,9.9,9.9
23,1.7595,1.7595,7.82,7.82,9.2,9.2,10.35,10.35
24,1.836,1.836,8.16,8.16,9.6,9.6,10.8,10.8
25,1.9125,1.9125,8.5,8.5,10,10,11.25,11.25
26,1.989,1.989,8.84,8.84,10.4,10.4,11.7,11.7
27,2.0655,2.0655,9.18,9.18,10.8,10.8,12.15,12.15
28,2.142,2.142,9.52,9.52,11.2,11.2,12.6,12.6
29,2.2185,2.2185,9.86,9.86,11.6,11.6,13.05,13.05
30,2.295,2.295,10.2,10.2,12,12,13.5,13.5
31,2.3715,2.3715,10.54,10.54,12.4,12.4,13.95,13.95
32,2.448,2.448,10.88,10.88,12.8,12.8,14.4,14.4
33,2.5245,2.5245,11.22,11.22,13.2,13.2,14.85,14.85
34,2.601,2.601,11.56,11.56,13.6,13.6,15.3,15.3
35,2.6775,2.6775,11.9,11.9,14,14,15.75,15.75
36,2.754,2.754,12.24,12.24,14.4,14.4,16.2,16.2
37,2.8305,2.8305,12.58,12.58,14.8,14.8,16.65,16.65
38,2.907,2.907,12.92,12.92,15.2,15.2,17.1,17.1
39,2.9835,2.9835,13.26,13.26,15.6,15.6,17.55,17.55
40,3.06,3.06,13.6,13.6,16,16,18,18
41,3.1365,3.1365,13.94,13.94,16.4,16.4,18.45,18.45
42,3.213,3.213,14.28,14.28,16.8,16.8,18.9,18.9
43,3.2895,3.2895,14.62,14.62,17.2,17.2,19.35,19.35
44,3.366,3.366,14.96,14.96,17.6,17.6,19.8,19.8
45,3.4425,3.4425,15.3,15.3,18,18,20.25,20.25
46,3.519,3.519,15.64,15.64,18.4,18.4,20.7,20.7
47,3.5955,3.5955,15.98,15.98,18.8,18.8,21.15,21.15
48,3.672,3.672,16.32,16.32,19.2,19.2,21.6,21.6
49,3.7485,3.7485,16.66,16.66,19.6,19.6,22.05,22.05
50,3.825,3.825,17,17,20,20,22.5,22.5
51,3.9015,3.9015,17.34,17.34,20.4,20.4,22.95,22.95
52,3.978,3.978,17.68,17.68,20.8,20.8,23.4,23.4
53,4.0545,4.0545,18.02,18.02,21.2,21.2,23.85,23.85
54,4.131,4.131,18.36,18.36,21.6,21.6,24.3,24.3
55,4.2075,4.2075,18.7,18.7,22,22,24.75,24.75
56,4.284,4.284,19.04,19.04,22.4,22.4,25.2,25.2
57,4.3605,4.3605,19.38,19.38,22.8,22.8,25.65,25.65
58,4.437,4.437,19.72,19.72,23.2,23.2,26.1,26.1
59,4.5135,4.5135,20.06,20.06,23.6,23.6,26.55,26.55
60,4.59,4.59,20.4,20.4,24,24,27,27
61,4.6665,4.6665,20.74,20.74,24.4,24.4,27.45,27.45
62,4.743,4.743,21.08,21.08,24.8,24.8,27.9,27.9
63,4.8195,4.8195,21.42,21.42,25.2,25.2,28.35,28.35
64,4.896,4.896,21.76,21.76,25.6,25.6,28.8,28.8
65,4.9725,4.9725,22.1,22.1,26,26,29.25,29.25
66,5.049,5.049,22.44,22.44,26.4,26.4,29.7,29.7
67,5.1255,5.1255,22.78,22.78,26.8,26.8,30.15,30.15
68,5.202,5.202,23.12,23.12,27.2,27.2,30.6,30.6
69,5.2785,5.2785,23.46,23.46,27.6,27.6,31.05,31.05
70,5.355,5.355,23.8,23.8,28,28,31.5,31.5
71,5.4315,5.4315,24.14,24.14,28.4,28.4,31.95,31.95
72,5.508,5.508,24.48,24.48,28.8,28.8,32.4,32.4
73,5.5845,5.5845,24.82,24.82,29.2,29.2,32.85,32.85
74,5.661,5.661,25.16,25.16,29.6,29.6,33.3,33.3
75,5.7375,5.7375,25.5,25.5,30,30,33.75,33.75
76,5.814,5.814,25.84,25.84,30.4,30.4,34.2,34.2
77,5.8905,5.8905,26.18,26.18,30.8,30.8,34.65,34.65
78,5.967,5.967,26.52,26.52,31.2,31.2,35.1,35.1
79,6.0435,6.0435,26.86,26.86,31.6,31.6,35.55,35.55
80,6.12,6.12,27.2,27.2,32,32,36,36
81,6.1965,6.1965,27.54,27.54,32.4,32.4,36.45,36.45
82,6.273,6.273,27.88,27.88,32.8,32.8,36.9,36.9
83,6.3495,6.3495,28.22,28.22,33.2,33.2,37.35,37.35
84,6.426,6.426,28.56,28.56,33.6,33.6,37.8,37.8
85,6.5025,6.5025,28.9,28.9,34,34,38.25,38.25
86,6.579,6.579,29.24,29.24,34.4,34.4,38.7,38.7
87,6.6555,6.6555,29.58,29.58,34.8,34.8,39.15,39.15
88,6.732,6.732,29.92,29.92,35.2,35.2,39.6,39.6
89,6.8085,6.8085,30.26,30.26,35.6,35.6,40.05,40.05
90,6.885,6.885,30.6,30.6,36,36,40.5,40.5
91,6.9615,6.9615,30.94,30.94,36.4,36.4,40.95,40.95
92,7.038,7.038,31.28,31.28,36.8,36.8,41.4,41.4
93,7.1145,7.1145,31.62,31.62,37.2,37.2,41.85,41.85
94,7.191,7.191,31.96,31.96,37.6,37.6,42.3,42.3
95,7.2675,7.2675,32.3,32.3,38,38,42.75,42.75
96,7.344,7.344,32.64,32.64,38.4,38.4,43.2,43.2
97,7.4205,7.4205,32.98,32.98,38.8,38.8,43.65,43.65
98,7.497,7.497,33.32,33.32,39.2,39.2,44.1,44.1
99,7.5735,7.5735,33.66,33.66,39.6,39.6,44.55,44.55
100,7.65,7.65,34,34,40,40,45,45
101,7.7265,7.7265,34.34,34.34,40.4,40.4,45.45,45.45
102,7.803,7.803,34.68,34.68,40.8,40.8,45.9,45.9
103,7.8795,7.8795,35.02,35.02,41.2,41.2,46.35,46.35
104,7.956,7.956,35.36,35.36,41.6,41.6,46.8,46.8
105,8.0325,8.0325,35.7,35.7,42,42,47.25,47.25
106,8.109,8.109,36.04,36.04,42.4,42.4,47.7,47.7
107,8.1855,8.1855,36.38,36.38,42.8,42.8,48.15,48.15
108,8.262,8.262,36.72,36.72,43.2,43.2,48.6,48.6
109,8.3385,8.3385,37.06,37.06,43.6,43.6,49.05,49.05
110,8.415,8.415,37.4,37.4,44,44,49.5,49.5
111,8.4915,8.4915,37.74,37.74,44.4,44.4,49.95,49.95
112,8.568,8.568,38.08,38.08,44.8,44.8,50.4,50.4
113,8.6445,8.6445,38.42,38.42,45.2,45.2,50.85,50.85
114,8.721,8.721,38.76,38.76,45.6,45.6,51.3,51.3
115,8.7975,8.7975,39.1,39.1,46,46,51.75,51.75
116,8.874,8.874,39.44,39.44,46.4,46.4,52.2,52.2
117,8.9505,8.9505,39.78,39.78,46.8,46.8,52.65,52.65
118,9.027,9.027,40.12,40.12,47.2,47.2,53.1,53.1
119,9.1035,9.1035,40.46,40.46,47.6,47.6,53.55,53.55
120,9.18,9.18,40.8,40.8,48,48,54,54
121,9.2565,9.2565,41.14,41.14,48.4,48.4,54.45,54.45
122,9.333,9.333,41.48,41.48,48.8,48.8,54.9,54.9
123,9.4095,9.4095,41.82,41.82,49.2,49.2,55.35,55.35
124,9.486,9.486,42.16,42.16,49.6,49.6,55.8,55.8
125,9.5625,9.5625,42.5,42.5,50,50,56.25,56.25
126,9.639,9.639,42.84,42.84,50.4,50.4,56.7,56.7
127,9.7155,9.7155,43.18,43.18,50.8,50.8,57.15,57.15
128,9.792,9.792,43.52,43.52,51.2,51.2,57.6,57.6
129,9.8685,9.8685,43.86,43.86,51.6,51.6,58.05,58.05
130,9.945,9.945,44.2,44.2,52,52,58.5,58.5
131,10.0215,10.0215,44.54,44.54,52.4,52.4,58.95,58.95
132,10.098,10.098,44.88,44.88,52.8,52.8,59.4,59.4
133,10.1745,10.1745,45.22,45.22,53.2,53.2,59.85,59.85
134,10.251,10.251,45.56,45.56,53.6,53.6,60.3,60.3
135,10.3275,10.3275,45.9,45.9,54,54,60.75,60.75
136,10.404,10.404,46.24,46.24,54.4,54.4,61.2,61.2
137,10.4805,10.4805,46.58,46.58,54.8,54.8,61.65,61.65
138,10.557,10.557,46.92,46.92,55.2,55.2,62.1,62.1
139,10.6335,10.6335,47.26,47.26,55.6,55.6,62.55,62.55
140,10.71,10.71,47.6,47.6,56,56,63,63
141,10.7865,10.7865,47.94,47.94,56.4,56.4,63.45,63.45
142,10.863,10.863,48.28,48.28,56.8,56.8,63.9,63.9
143,10.9395,10.9395,48.62,48.62,57.2,57.2,64.35,64.35
144,11.016,11.016,48.96,48.96,57.6,57.6,64.8,64.8
145,11.0925,11.0925,49.3,49.3,58,58,65.25,65.25
146,11.169,11.169,49.64,49.64,58.4,58.4,65.7,65.7
147,11.2455,11.2455,49.98,49.98,58.8,58.8,66.15,66.15
148,11.322,11.322,50.32,50.32,59.2,59.2,66.6,66.6
149,11.3985,11.3985,50.66,50.66,59.6,59.6,67.05,67.05
150,11.475,11.475,51,51,60,60,67.5,67.5
151,11.5515,11.5515,51.34,51.34,60.4,60.4,67.95,67.95
152,11.628,11.628,51.68,51.68,60.8,60.8,68.4,68.4
153,11.7045,11.7045,52.02,52.02,61.2,61.2,68.85,68.85
154,11.781,11.781,52.36,52.36,61.6,61.6,69.3,69.3
155,11.8575,11.8575,52.7,52.7,62,62,69.75,69.75
156,11.934,11.934,53.04,53.04,62.4,62.4,70.2,70.2
157,12.0105,12.0105,53.38,53.38,62.8,62.8,70.65,70.65
158,12.087,12.087,53.72,53.72,63.2,63.2,71.1,71.1
159,12.1635,12.1635,54.06,54.06,63.6,63.6,71.55,71.55
160,12.24,12.24,54.4,54.4,64,64,72,72
161,12.3165,12.3165,54.74,54.74,64.4,64.4,72.45,72.45
162,12.393,12.393,55.08,55.08,64.8,64.8,72.9,72.9
163,12.4695,12.4695,55.42,55.42,65.2,65.2,73.35,73.35
164,12.546,12.546,55.76,55.76,65.6,65.6,73.8,73.8
165,12.6225,12.6225,56.1,56.1,66,66,74.25,74.25
166,12.699,12.699,56.44,56.44,66.4,66.4,74.7,74.7
167,12.7755,12.7755,56.78,56.78,66.8,66.8,75.15,75.15
168,12.852,12.852,57.12,57.12,67.2,67.2,75.6,75.6
169,12.9285,12.9285,57.46,57.46,67.6,67.6,76.05,76.05
170,13.005,13.005,57.8,57.8,68,68,76.5,76.5
171,13.0815,13.0815,58.14,58.14,68.4,68.4,76.95,76.95
172,13.158,13.158,58.48,58.48,68.8,68.8,77.4,77.4
173,13.2345,13.2345,58.82,58.82,69.2,69.2,77.85,77.85
174,13.311,13.311,59.16,59.16,69.6,69.6,78.3,78.3
175,13.3875,13.3875,59.5,59.5,70,70,78.75,78.75
176,13.464,13.464,59.84,59.84,70.4,70.4,79.2,79.2
177,13.5405,13.5405,60.18,60.18,70.8,70.8,79.65,79.65
178,13.617,13.617,60.52,60.52,71.2,71.2,80.1,80.1
179,13.6935,13.6935,60.86,60.86,71.6,71.6,80.55,80.55
180,13.77,13.77,61.2,61.2,72,72,81,81
181,13.8465,13.8465,61.54,61.54,72.4,72.4,81.45,81.45
182,13.923,13.923,61.88,61.88,72.8,72.8,81.9,81.9
183,13.9995,13.9995,62.22,62.22,73.2,73.2,82.35,82.35
184,14.076,14.076,62.56,62.56,73.6,73.6,82.8,82.8
185,14.1525,14.1525,62.9,62.9,74,74,83.25,83.25
186,14.229,14.229,63.24,63.24,74.4,74.4,83.7,83.7
187,14.3055,14.3055,63.58,63.58,74.8,74.8,84.15,84.15
188,14.382,14.382,63.92,63.92,75.2,75.2,84.6,84.6
189,14.4585,14.4585,64.26,64.26,75.6,75.6,85.05,85.05
190,14.535,14.535,64.6,64.6,76,76,85.5,85.5
191,14.6115,14.6115,64.94,64.94,76.4,76.4,85.95,85.95
192,14.688,14.688,65.28,65.28,76.8,76.8,86.4,86.4
193,14.7645,14.7645,65.62,65.62,77.2,77.2,86.85,86.85
194,14.841,14.841,65.96,65.96,77.6,77.6,87.3,87.3
195,14.9175,14.9175,66.3,66.3,78,78,87.75,87.75
196,14.994,14.994,66.64,66.64,78.4,78.4,88.2,88.2
197,15.0705,15.0705,66.98,66.98,78.8,78.8,88.65,88.65
198,15.147,15.147,67.32,67.32,79.2,79.2,89.1,89.1
199,15.2235,15.2235,67.66,67.66,79.6,79.6,89.55,89.55
200,15.3,15.3,68,68,80,80,90,90
201,15.3765,15.3765,68.34,68.34,80.4,80.4,90.45,90.45
202,15.453,15.453,68.68,68.68,80.8,80.8,90.9,90.9
203,15.5295,15.5295,69.02,69.02,81.2,81.2,91.35,91.35
204,15.606,15.606,69.36,69.36,81.6,81.6,91.8,91.8
205,15.6825,15.6825,69.7,69.7,82,82,92.25,92.25
206,15.759,15.759,70.04,70.04,82.4,82.4,92.7,92.7
207,15.8355,15.8355,70.38,70.38,82.8,82.8,93.15,93.15
208,15.912,15.912,70.72,70.72,83.2,83.2,93.6,93.6
209,15.9885,15.9885,71.06,71.06,83.6,83.6,94.05,94.05
210,16.065,16.065,71.4,71.4,84,84,94.5,94.5
211,16.1415,16.1415,71.74,71.74,84.4,84.4,94.95,94.95
212,16.218,16.218,72.08,72.08,84.8,84.8,95.4,95.4
213,16.2945,16.2945,72.42,72.42,85.2,85.2,95.85,95.85
214,16.371,16.371,72.76,72.76,85.6,85.6,96.3,96.3
215,16.4475,16.4475,73.1,73.1,86,86,96.75,96.75
216,16.524,16.524,73.44,73.44,86.4,86.4,97.2,97.2
217,16.6005,16.6005,73.78,73.78,86.8,86.8,97.65,97.65
218,16.677,16.677,74.12,74.12,87.2,87.2,98.1,98.1
219,16.7535,16.7535,74.46,74.46,87.6,87.6,98.55,98.55
220,16.83,16.83,74.8,74.8,88,88,99,99
221,16.9065,16.9065,75.14,75.14,88.4,88.4,99.45,99.45
222,16.983,16.983,75.48,75.48,88.8,88.8,99.9,99.9
223,17.0595,17.0595,75.82,75.82,89.2,89.2,100.35,100.35
224,17.136,17.136,76.16,76.16,89.6,89.6,100.8,100.8
225,17.2125,17.2125,76.5,76.5,90,90,101.25,101.25
226,17.289,17.289,76.84,76.84,90.4,90.4,101.7,101.7
227,17.3655,17.3655,77.18,77.18,90.8,90.8,102.15,102.15
228,17.442,17.442,77.52,77.52,91.2,91.2,102.6,102.6
229,17.5185,17.5185,77.86,77.86,91.6,91.6,103.05,103.05
230,17.595,17.595,78.2,78.2,92,92,103.5,103.5
231,17.6715,17.6715,78.54,78.54,92.4,92.4,103.95,103.95
232,17.748,17.748,78.88,78.88,92.8,92.8,104.4,104.4
233,17.8245,17.8245,79.22,79.22,93.2,93.2,104.85,104.85
234,17.901,17.901,79.56,79.56,93.6,93.6,105.3,105.3
235,17.9775,17.9775,79.9,79.9,94,94,105.75,105.75
236,18.054,18.054,80.24,80.24,94.4,94.4,106.2,106.2
237,18.1305,18.1305,80.58,80.58,94.8,94.8,106.65,106.65
238,18.207,18.207,80.92,80.92,95.2,95.2,107.1,107.1
239,18.2835,18.2835,81.26,81.26,95.6,95.6,107.55,107.55
240,18.36,18.36,81.6,81.6,96,96,108,108
241,18.4365,18.4365,81.94,81.94,96.4,96.4,108.45,108.45
242,18.513,18.513,82.28,82.28,96.8,96.8,108.9,108.9
243,18.5895,18.5895,82.62,82.62,97.2,97.2,109.35,109.35
244,18.666,18.666,82.96,82.96,97.6,97.6,109.8,109.8
245,18.7425,18.7425,83.3,83.3,98,98,110.25,110.25
246,18.819,18.819,83.64,83.64,98.4,98.4,110.7,110.7
247,18.8955,18.8955,83.98,83.98,98.8,98.8,111.15,111.15
248,18.972,18.972,84.32,84.32,99.2,99.2,111.6,111.6
249,19.0485,19.0485,84.66,84.66,99.6,99.6,112.05,112.05
250,19.125,19.125,85,85,100,100,112.5,112.5
251,19.2015,19.2015,85.34,85.34,100.4,100.4,112.95,112.95
252,19.278,19.278,85.68,85.68,100.8,100.8,113.4,113.4
253,19.3545,19.3545,86.02,86.02,101.2,101.2,113.85,113.85
254,19.431,19.431,86.36,86.36,101.6,101.6,114.3,114.3
255,19.5075,19.5075,86.7,86.7,102,102,114.75,114.75
256,19.584,19.584,87.04,87.04,102.4,102.4,115.2,115.2
257,19.6605,19.6605,87.38,87.38,102.8,102.8,115.65,115.65
258,19.737,19.737,87.72,87.72,103.2,103.2,116.1,116.1
259,19.8135,19.8135,88.06,88.06,103.6,103.6,116.55,116.55
260,19.89,19.89,88.4,88.4,104,104,117,117
261,19.9665,19.9665,88.74,88.74,104.4,104.4,117.45,117.45
262,20.043,20.043,89.08,89.08,104.8,104.8,117.9,117.9
263,20.1195,20.1195,89.42,89.42,105.2,105.2,118.35,118.35
264,20.196,20.196,89.76,89.76,105.6,105.6,118.8,118.8
265,20.2725,20.2725,90.1,90.1,106,106,119.25,119.25
266,20.349,20.349,90.44,90.44,106.4,106.4,119.7,119.7
267,20.4255,20.4255,90.78,90.78,106.8,106.8,120.15,120.15
268,20.502,20.502,91.12,91.12,107.2,107.2,120.6,120.6
269,20.5785,20.5785,91.46,91.46,107.6,107.6,121.05,121.05
270,20.655,20.655,91.8,91.8,108,108,121.5,121.5
271,20.7315,20.7315,92.14,92.14,108.4,108.4,121.95,121.95
272,20.808,20.808,92.48,92.48,108.8,108.8,122.4,122.4
273,20.8845,20.8845,92.82,92.82,109.2,109.2,122.85,122.85
274,20.961,20.961,93.16,93.16,109.6,109.6,123.3,123.3
275,21.0375,21.0375,93.5,93.5,110,110,123.75,123.75
276,21.114,21.114,93.84,93.84,110.4,110.4,124.2,124.2
277,21.1905,21.1905,94.18,94.18,110.8,110.8,124.65,124.65
278,21.267,21.267,94.52,94.52,111.2,111.2,125.1,125.1
279,21.3435,21.3435,94.86,94.86,111.6,111.6,125.55,125.55
280,21.42,21.42,95.2,95.2,112,112,126,126
281,21.4965,21.4965,95.54,95.54,112.4,112.4,126.45,126.45
282,21.573,21.573,95.88,95.88,112.8,112.8,126.9,126.9
283,21.6495,21.6495,96.22,96.22,113.2,113.2,127.35,127.35
284,21.726,21.726,96.56,96.56,113.6,113.6,127.8,127.8
285,21.8025,21.8025,96.9,96.9,114,114,128.25,128.25
286,21.879,21.879,97.24,97.24,114.4,114.4,128.7,128.7
287,21.9555,21.9555,97.58,97.58,114.8,114.8,129.15,129.15
288,22.032,22.032,97.92,97.92,115.2,115.2,129.6,129.6
289,22.1085,22.1085,98.26,98.26,115.6,115.6,130.05,130.05
290,22.185,22.185,98.6,98.6,116,116,130.5,130.5
291,22.2615,22.2615,98.94,98.94,116.4,116.4,130.95,130.95
292,22.338,22.338,99.28,99.28,116.8,116.8,131.4,131.4
293,22.4145,22.4145,99.62,99.62,117.2,117.2,131.85,131.85
294,22.491,22.491,99.96,99.96,117.6,117.6,132.3,132.3
295,22.5675,22.5675,100.3,100.3,118,118,132.75,132.75
296,22.644,22.644,100.64,100.64,118.4,118.4,133.2,133.2
297,22.7205,22.7205,100.98,100.98,118.8,118.8,133.65,133.65
298,22.797,22.797,101.32,101.32,119.2,119.2,134.1,134.1
299,22.8735,22.8735,101.66,101.66,119.6,119.6,134.55,134.55
300,22.95,22.95,102,102,120,120,135,135
301,23.0265,23.0265,102.34,102.34,120.4,120.4,135.45,135.45
302,23.103,23.103,102.68,102.68,120.8,120.8,135.9,135.9
303,23.1795,23.1795,103.02,103.02,121.2,121.2,136.35,136.35
304,23.256,23.256,103.36,103.36,121.6,121.6,136.8,136.8
305,23.3325,23.3325,103.7,103.7,122,122,137.25,137.25
306,23.409,23.409,104.04,104.04,122.4,122.4,137.7,137.7
307,23.4855,23.4855,104.38,104.38,122.8,122.8,138.15,138.15
308,23.562,23.562,104.72,104.72,123.2,123.2,138.6,138.6
309,23.6385,23.6385,105.06,105.06,123.6,123.6,139.05,139.05
310,23.715,23.715,105.4,105.4,124,124,139.5,139.5
311,23.7915,23.7915,105.74,105.74,124.4,124.4,139.95,139.95
312,23.868,23.868,106.08,106.08,124.8,124.8,140.4,140.4
313,23.9445,23.9445,106.42,106.42,125.2,125.2,140.85,140.85
314,24.021,24.021,106.76,106.76,125.6,125.6,141.3,141.3
315,24.0975,24.0975,107.1,107.1,126,126,141.75,141.75
316,24.174,24.174,107.44,107.44,126.4,126.4,142.2,142.2
317,24.2505,24.2505,107.78,107.78,126.8,126.8,142.65,142.65
318,24.327,24.327,108.12,108.12,127.2,127.2,143.1,143.1
319,24.4035,24.4035,108.46,108.46,127.6,127.6,143.55,143.55
320,24.48,24.48,108.8,108.8,128,128,144,144
321,24.5565,24.5565,109.14,109.14,128.4,128.4,144.45,144.45
322,24.633,24.633,109.48,109.48,128.8,128.8,144.9,144.9
323,24.7095,24.7095,109.82,109.82,129.2,129.2,145.35,145.35
324,24.786,24.786,110.16,110.16,129.6,129.6,145.8,145.8
325,24.8625,24.8625,110.5,110.5,130,130,146.25,146.25
326,24.939,24.939,110.84,110.84,130.4,130.4,146.7,146.7
327,25.0155,25.0155,111.18,111.18,130.8,130.8,147.15,147.15
328,25.092,25.092,111.52,111.52,131.2,131.2,147.6,147.6
329,25.1685,25.1685,111.86,111.86,131.6,131.6,148.05,148.05
330,25.245,25.245,112.2,112.2,132,132,148.5,148.5
331,25.3215,25.3215,112.54,112.54,132.4,132.4,148.95,148.95
332,25.398,25.398,112.88,112.88,132.8,132.8,149.4,149.4
333,25.4745,25.4745,113.22,113.22,133.2,133.2,149.85,149.85
334,25.551,25.551,113.56,113.56,133.6,133.6,150.3,150.3
335,25.6275,25.6275,113.9,113.9,134,134,150.75,150.75
336,25.704,25.704,114.24,114.24,134.4,134.4,151.2,151.2
337,25.7805,25.7805,114.58,114.58,134.8,134.8,151.65,151.65
338,25.857,25.857,114.92,114.92,135.2,135.2,152.1,152.1
339,25.9335,25.9335,115.26,115.26,135.6,135.6,152.55,152.55
340,26.01,26.01,115.6,115.6,136,136,153,153
341,26.0865,26.0865,115.94,115.94,136.4,136.4,153.45,153.45
342,26.163,26.163,116.28,116.28,136.8,136.8,153.9,153.9
343,26.2395,26.2395,116.62,116.62,137.2,137.2,154.35,154.35
344,26.316,26.316,116.96,116.96,137.6,137.6,154.8,154.8
345,26.3925,26.3925,117.3,117.3,138,138,155.25,155.25
346,26.469,26.469,117.64,117.64,138.4,138.4,155.7,155.7
347,26.5455,26.5455,117.98,117.98,138.8,138.8,156.15,156.15
348,26.622,26.622,118.32,118.32,139.2,139.2,156.6,156.6
349,26.6985,26.6985,118.66,118.66,139.6,139.6,157.05,157.05
350,26.775,26.775,119,119,140,140,157.5,157.5
351,26.8515,26.8515,119.34,119.34,140.4,140.4,157.95,157.95
352,26.928,26.928,119.68,119.68,140.8,140.8,158.4,158.4
353,27.0045,27.0045,120.02,120.02,141.2,141.2,158.85,158.85
354,27.081,27.081,120.36,120.36,141.6,141.6,159.3,159.3
355,27.1575,27.1575,120.7,120.7,142,142,159.75,159.75
356,27.234,27.234,121.04,121.04,142.4,142.4,160.2,160.2
357,27.3105,27.3105,121.38,121.38,142.8,142.8,160.65,160.65
358,27.387,27.387,121.72,121.72,143.2,143.2,161.1,161.1
359,27.4635,27.4635,122.06,122.06,143.6,143.6,161.55,161.55
360,27.54,27.54,122.4,122.4,144,144,162,162
361,27.6165,27.6165,122.74,122.74,144.4,144.4,162.45,162.45
362,27.693,27.693,123.08,123.08,144.8,144.8,162.9,162.9
363,27.7695,27.7695,123.42,123.42,145.2,145.2,163.35,163.35
364,27.846,27.846,123.76,123.76,145.6,145.6,163.8,163.8
365,27.9225,27.9225,124.1,124.1,146,146,164.25,164.25
366,27.999,27.999,124.44,124.44,146.4,146.4,164.7,164.7
367,28.0755,28.0755,124.78,124.78,146.8,146.8,165.15,165.15
368,28.152,28.152,125.12,125.12,147.2,147.2,165.6,165.6
369,28.2285,28.2285,125.46,125.46,147.6,147.6,166.05,166.05
370,28.305,28.305,125.8,125.8,148,148,166.5,166.5
371,28.3815,28.3815,126.14,126.14,148.4,148.4,166.95,166.95
372,28.458,28.458,126.48,126.48,148.8,148.8,167.4,167.4
373,28.5345,28.5345,126.82,126.82,149.2,149.2,167.85,167.85
374,28.611,28.611,127.16,127.16,149.6,149.6,168.3,168.3
375,28.6875,28.6875,127.5,127.5,150,150,168.75,168.75
376,28.764,28.764,127.84,127.84,150.4,150.4,169.2,169.2
377,28.8405,28.8405,128.18,128.18,150.8,150.8,169.65,169.65
378,28.917,28.917,128.52,128.52,151.2,151.2,170.1,170.1
379,28.9935,28.9935,128.86,128.86,151.6,151.6,170.55,170.55
380,29.07,29.07,129.2,129.2,152,152,171,171
381,29.1465,29.1465,129.54,129.54,152.4,152.4,171.45,171.45
382,29.223,29.223,129.88,129.88,152.8,152.8,171.9,171.9
383,29.2995,29.2995,130.22,130.22,153.2,153.2,172.35,172.35
384,29.376,29.376,130.56,130.56,153.6,153.6,172.8,172.8
385,29.4525,29.4525,130.9,130.9,154,154,173.25,173.25
386,29.529,29.529,131.24,131.24,154.4,154.4,173.7,173.7
387,29.6055,29.6055,131.58,131.58,154.8,154.8,174.15,174.15
388,29.682,29.682,131.92,131.92,155.2,155.2,174.6,174.6
389,29.7585,29.7585,132.26,132.26,155.6,155.6,175.05,175.05
390,29.835,29.835,132.6,132.6,156,156,175.5,175.5
391,29.9115,29.9115,132.94,132.94,156.4,156.4,175.95,175.95
392,29.988,29.988,133.28,133.28,156.8,156.8,176.4,176.4
393,30.0645,30.0645,133.62,133.62,157.2,157.2,176.85,176.85
394,30.141,30.141,133.96,133.96,157.6,157.6,177.3,177.3
395,30.2175,30.2175,134.3,134.3,158,158,177.75,177.75
396,30.294,30.294,134.64,134.64,158.4,158.4,178.2,178.2
397,30.3705,30.3705,134.98,134.98,158.8,158.8,178.65,178.65
398,30.447,30.447,135.32,135.32,159.2,159.2,179.1,179.1
399,30.5235,30.5235,135.66,135.66,159.6,159.6,179.55,179.55
400,30.6,30.6,136,136,160,160,180,180
401,30.6765,30.6765,136.34,136.34,160.4,160.4,180.45,180.45
402,30.753,30.753,136.68,136.68,160.8,160.8,180.9,180.9
403,30.8295,30.8295,137.02,137.02,161.2,161.2,181.35,181.35
404,30.906,30.906,137.36,137.36,161.6,161.6,181.8,181.8
405,30.9825,30.9825,137.7,137.7,162,162,182.25,182.25
406,31.059,31.059,138.04,138.04,162.4,162.4,182.7,182.7
407,31.1355,31.1355,138.38,138.38,162.8,162.8,183.15,183.15
408,31.212,31.212,138.72,138.72,163.2,163.2,183.6,183.6
409,31.2885,31.2885,139.06,139.06,163.6,163.6,184.05,184.05
410,31.365,31.365,139.4,139.4,164,164,184.5,184.5
