Income_level,Single_no_children,Married_no_children,Single_one_child,Married_one_child,Single_two_children,Married_two_children,Single_three_children,Married_three_children
9780,442.935,529.38,3325.2,3325.2,3912,3912,4401,4401
9781,442.8585,529.38,3325.54,3325.54,3912.4,3912.4,4401.45,4401.45
9782,442.782,529.38,3325.88,3325.88,3912.8,3912.8,4401.9,4401.9
9783,442.7055,529.38,3326.22,3326.22,3913.2,3913.2,4402.35,4402.35
9784,442.629,529.38,3326.56,3326.56,3913.6,3913.6,4402.8,4402.8
9785,442.5525,529.38,3326.9,3326.9,3914,3914,4403.25,4403.25
9786,442.476,529.38,3327.24,3327.24,3914.4,3914.4,4403.7,4403.7
9787,442.3995,529.38,3327.58,3327.58,3914.8,3914.8,4404.15,4404.15
9788,442.323,529.38,3327.92,3327.92,3915.2,3915.2,4404.6,4404.6
9789,442.2465,529.38,3328.26,3328.26,3915.6,3915.6,4405.05,4405.05
9790,442.17,529.38,3328.6,3328.6,3916,3916,4405.5,4405.5
9791,442.0935,529.38,3328.94,3328.94,3916.4,3916.4,4405.95,4405.95
9792,442.017,529.38,3329.28,3329.28,3916.8,3916.8,4406.4,4406.4
9793,441.9405,529.38,3329.62,3329.62,3917.2,3917.2,4406.85,4406.85
9794,441.864,529.38,3329.96,3329.96,3917.6,3917.6,4407.3,4407.3
9795,441.7875,529.38,3330.3,3330.3,3918,3918,4407.75,4407.75
9796,441.711,529.38,3330.64,3330.64,3918.4,3918.4,4408.2,4408.2
9797,441.6345,529.38,3330.98,3330.98,3918.8,3918.8,4408.65,4408.65
9798,441.558,529.38,3331.32,3331.32,3919.2,3919.2,4409.1,4409.1
9799,441.4815,529.38,3331.66,3331.66,3919.6,3919.6,4409.55,4409.55
9800,441.405,529.38,3332,3332,3920,3920,4410,4410
9801,441.3285,529.38,3332.34,3332.34,3920.4,3920.4,4410.45,4410.45
9802,441.252,529.38,3332.68,3332.68,3920.8,3920.8,4410.9,4410.9
9803,441.1755,529.38,3333.02,3333.02,3921.2,3921.2,4411.35,4411.35
9804,441.099,529.38,3333.36,3333.36,3921.6,3921.6,4411.8,4411.8
9805,441.0225,529.38,3333.7,3333.7,3922,3922,4412.25,4412.25
9806,440.946,529.38,3334.04,3334.04,3922.4,3922.4,4412.7,4412.7
9807,440.8695,529.38,3334.38,3334.38,3922.8,3922.8,4413.15,4413.15
9808,440.793,529.38,3334.72,3334.72,3923.2,3923.2,4413.6,4413.6
9809,440.7165,529.38,3335.06,3335.06,3923.6,3923.6,4414.05,4414.05
9810,440.64,529.38,3335.4,3335.4,3924,3924,4414.5,4414.5
9811,440.5635,529.38,3335.74,3335.74,3924.4,3924.4,4414.95,4414.95
9812,440.487,529.38,3336.08,3336.08,3924.8,3924.8,4415.4,4415.4
9813,440.4105,529.38,3336.42,3336.42,3925.2,3925.2,4415.85,4415.85
9814,440.334,529.38,3336.76,3336.76,3925.6,3925.6,4416.3,4416.3
9815,440.2575,529.38,3337.1,3337.1,3926,3926,4416.75,4416.75
9816,440.181,529.38,3337.44,3337.44,3926.4,3926.4,4417.2,4417.2
9817,440.1045,529.38,3337.78,3337.78,3926.8,3926.8,4417.65,4417.65
9818,440.028,529.38,3338.12,3338.12,3927.2,3927.2,4418.1,4418.1
9819,439.9515,529.38,3338.46,3338.46,3927.6,3927.6,4418.55,4418.55
9820,439.875,529.38,3338.8,3338.8,3928,3928,4419,4419
9821,439.7985,529.38,3339.14,3339.14,3928.4,3928.4,4419.45,4419.45
9822,439.722,529.38,3339.48,3339.48,3928.8,3928.8,4419.9,4419.9
9823,439.6455,529.38,3339.82,3339.82,3929.2,3929.2,4420.35,4420.35
9824,439.569,529.38,3340.16,3340.16,3929.6,3929.6,4420.8,4420.8
9825,439.4925,529.38,3340.5,3340.5,3930,3930,4421.25,4421.25
9826,439.416,529.38,3340.84,3340.84,3930.4,3930.4,4421.7,4421.7
9827,439.3395,529.38,3341.18,3341.18,3930.8,3930.8,4422.15,4422.15
9828,439.263,529.38,3341.52,3341.52,3931.2,3931.2,4422.6,4422.6
9829,439.1865,529.38,3341.86,3341.86,3931.6,3931.6,4423.05,4423.05
9830,439.11,529.38,3342.2,3342.2,3932,3932,4423.5,4423.5
9831,439.0335,529.38,3342.54,3342.54,3932.4,3932.4,4423.95,4423.95
9832,438.957,529.38,3342.88,3342.88,3932.8,3932.8,4424.4,4424.4
9833,438.8805,529.38,3343.22,3343.22,3933.2,3933.2,4424.85,4424.85
9834,438.804,529.38,3343.56,3343.56,3933.6,3933.6,4425.3,4425.3
9835,438.7275,529.38,3343.9,3343.9,3934,3934,4425.75,4425.75
